Position,Const,Title,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1533117,Rang zi dan fei,7.2,132,2010,"Action, Comedy, Drama, Western",11084,2010/12/16,Wen Jiang
2,tt2106651,Spectral,6.3,107,2016,"Action, Adventure, Sci-Fi",58935,2016/12/9,Nic Mathieu
3,tt4633694,Spider-Man: Into the Spider-Verse,8.4,117,2018,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",497611,2018/12/6,"Bob Persichetti, Rodney Rothman, Peter Ramsey"
4,tt1470827,Monsters,6.4,94,2010,"Adventure, Drama, Romance, Sci-Fi, Thriller",92059,2010/3/13,Gareth Edwards
5,tt1564585,Skyline,4.5,92,2010,"Action, Sci-Fi, Thriller",89735,2010/11/11,"Greg Strause, Colin Strause"
6,tt1724970,Beyond Skyline,5.3,106,2017,"Action, Adventure, Sci-Fi",21821,2017/10/14,Liam O'Donnell
7,tt0073260,The Land That Time Forgot,5.6,91,1974,"Adventure, Fantasy",6318,1974/11/29,Kevin Connor
8,tt2222042,Love and Monsters,6.9,109,2020,"Action, Adventure, Comedy, Fantasy, Sci-Fi",122972,2020/4/14,Michael Matthews
9,tt1740707,Trolljegeren,6.9,103,2010,"Drama, Fantasy, Horror, Sci-Fi, Thriller",73685,2010/10/29,André _vredal
10,tt5923962,Gantz: O,7.1,95,2016,"Animation, Action, Drama, Fantasy, Sci-Fi, Thriller",14860,2016/9/8,"Kei'ichi Sato, Yasushi Kawamura"
11,tt2911666,John Wick,7.4,101,2014,"Action, Crime, Thriller",609868,2014/9/19,"David Leitch, Chad Stahelski"
12,tt0286106,Signs,6.8,106,2002,"Drama, Mystery, Sci-Fi, Thriller",358497,2002/7/29,M. Night Shyamalan
13,tt0274166,Johnny English,6.2,89,2003,"Action, Adventure, Comedy",158938,2003/4/6,Peter Howitt
14,tt2034800,The Great Wall,5.9,103,2016,"Action, Adventure, Fantasy, Thriller",133053,2016/12/6,Yimou Zhang
15,tt1634122,Johnny English Reborn,6.3,101,2011,"Action, Adventure, Comedy",129645,2011/9/15,Oliver Parker
16,tt0978764,Sucker Punch,6,110,2011,"Action, Adventure, Fantasy",241768,2011/3/21,Zack Snyder
17,tt5073642,Color Out of Space,6.1,111,2019,"Horror, Mystery, Sci-Fi, Thriller",46169,2019/9/7,Richard Stanley
18,tt3361792,Tolkien,6.8,112,2019,"Biography, Drama, Romance, War",39856,2019/4/29,Dome Karukoski
19,tt6921996,Johnny English Strikes Again,6.2,89,2018,"Action, Adventure, Comedy",73003,2018/9/13,David Kerr
20,tt4425200,John Wick: Chapter 2,7.4,122,2017,"Action, Crime, Thriller",417539,2017/1/30,Chad Stahelski
21,tt0110912,Pulp Fiction,8.9,154,1994,"Crime, Drama",1994528,1994/5/21,Quentin Tarantino
22,tt0167190,Hellboy,6.8,122,2004,"Action, Adventure, Fantasy, Horror, Sci-Fi",324932,2004/3/30,Guillermo del Toro
